,Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount,Stage,column10,Company/Brand,What it does,Amount($),Company Name,Industry,Round/Series,Location,About Company
0,Unbox Robotics,2019.0,Bangalore,AI startup,"Unbox Robotics builds on-demand AI-driven warehouse robotics solutions, which can be deployed using limited foot-print, time, and capital.","Pramod Ghadge, Shahid Memon","BEENEXT, Entrepreneur First","$1,200,000",Pre-series A,,,,,,,,,
2,Lead School,2012.0,Mumbai,EdTech,LEAD School offers technology based school transformation system that assures excellent learning for every child.,"Smita Deorah, Sumeet Mehta","GSV Ventures, Westbridge Capital","$30,000,000",Series D,,,,,,,,,
3,Bizongo,2015.0,Mumbai,B2B E-commerce,Bizongo is a business-to-business online marketplace for packaging products.,"Aniket Deb, Ankit Tomar, Sachin Agrawal","CDC Group, IDG Capital","$51,000,000",Series C,,,,,,,,,
4,FypMoney,2021.0,Gurugram,FinTech,"FypMoney is Digital NEO Bank for Teenagers, empowering them with financial literacy and ease of secured financial transactions.",Kapil Banwari,"Liberatha Kallat, Mukesh Yadav, Dinesh Nagpal","$2,000,000",Seed,,,,,,,,,
7,Qube Health,2016.0,Mumbai,HealthTech,India's Most Respected Workplace Healthcare Management Company,Gagan Kapur,Inflection Point Ventures,Undisclosed,Pre-series A,,,,,,,,,
10,Fitterfly,2016.0,Mumbai,HealthTech,"Fitterfly offers customized and personalized wellness programs for diabetes PCOS, pregnancy, weight loss, pediatric and nutrition.",Dr Arbinder Singal,"9Unicorns Accelerator Fund, Metaform Ventures","$3,000,000",Pre-series A,,,,,,,,,
12,MyDentalPlan,2014.0,Bangalore,Helathcare,My Dental Plan provides dental care packages and services.,"Dr Mohender Narula, Dr AnandKrishna, Dr Girish Rao",Safe Planet Medicare,"$700,000",Seed,,,,,,,,,
17,ORAI,2020.0,Bangalore,IT startup,AI-Powered Robotic Virtual Assistant (RVA) for Amplifying Performance of Poor quality leads and bring more MQL and SQL,"Swapnil Jain, Sujit Das Biswas",Inflection Point Ventures,"$400,000",Pre-series A,,,,,,,,,
18,ixamBee,2016.0,New Delhi,EdTech,ixamBee is to provide best online learning experience for preparation of competitive exams.,Chandraprakash Joshi,"Mumbai Angels, Narendra Shyamsukha","$300,000",Seed,,,,,,,,,
19,CoinSwitch Kuber,2017.0,Bangalore,FinTech,CoinSwitch Kuber is an India-based cryptocurrency exchange platform.,"Ashish Singhal, Govind Soni, Vimal Sagar Tiwari","Paradigm, Kunal Shah","$25,000,000",Series B,,,,,,,,,
20,Razorpay,2014.0,Bangalore,FinTech,"Razorpay is a platform that enables businesses to accept, process, and disburse payments.","Harshil Mathur, Shashank Kumar","Matrix Partners India, GIC","$160,000,000",Series E,,,,,,,,,
21,Uable,2020.0,Bangalore,EdTech,Uable offers role based programmes to empower children to explore different domains.,Saurabh Saxena,"Chiratae Ventures, JAFCO Asia",Undisclosed,Seed,,,,,,,,,
22,ZFW Hospitality,2015.0,New Delhi,Food & Beverages,Creating a sustainable and scalable cloud kitchen network.,Madhav Kasturia,"Mumbai Angels Network, Expert DOJO","$150,000",Pre-seed,,,,,,,,,
23,Optimized Electrotech,2017.0,Ahmadabad,Aeorspace,"Long distance, multispectral Surveillance Equipment for Defense, Aerospace, Critical Asset Protection","Anil Yekkala, Dharin Shah, Kuldeep Saxena, Purvi Shah, Sandeep Shah",GVFL,"$1,800,000",Pre-series A,,,,,,,,,
25,Chara,2019.0,Bangalore,Deep Tech,"A scalable, cloud-controlled, and rare earth mineral free Hardware and Software platform for the Switched Reluctance Motor and other magnet free motor technologies.","Bhaktha Keshavachar, Ravi Prasad Sharma, Mahalingam Koushik",Kalaari Capital,"$850,000",Seed,,,,,,,,,
26,Sirona Hygiene,2015.0,New Delhi,HealthTech,Solving unaddressed Intimate & Menstrual Hygiene issues with our award-winning innovative & modern products.,"Deep Bajaj, Mohit Bajaj","NB Ventures, IAN Fund","$3,000,000",Series A,,,,,,,,,
27,Pristyn Care,2018.0,Gurugram,HealthTech,Pristyn Care is Health Care Startup that is disrupting Elective Surgery Procedures,Harsimarbir (Harsh) Singh,"Sequoia Capital India, Hummingbird Ventures","$53,000,000",Series D,,,,,,,,,
28,TrulyMadly,2013.0,New Delhi,Dating,Trulymadly is a dating platform that uses a match making algorithm.,"Hitesh Dhingra, Rahul Kumar, Sachin Bhatia","Gaurav Munjal, Snehil Khanor","$2,000,000",Pre-series A,,,,,,,,,
32,SuperK,2019.0,"Small Towns, Andhra Pradesh",Retail,SuperK is a full-stack solution to empower small format retail stores in India.,Neeraj Menta,STRIVE VC,"$800,000",Seed,,,,,,,,,
