Company_Brand,Sector,Stage,HeadQuarter,What it does,Amount($),Founded,Founders,Investor,Top_Stage,Location
TheCollegeFever,"Brand Marketing, Event Promotion, Marketing, Sponsorship, Ticketing",seed,"Bangalore, Karnataka, India","TheCollegeFever is a hub for fun, fiesta and frolic of Colleges.",250000.0,2017.0,Unknown,Investor,seed,India
Happy Cow Dairy,"Agriculture, Farming",seed,"Mumbai, Maharashtra, India",A startup which aggregates milk from dairy farmers in rural Maharashtra.,480000.0,2017.0,Unknown,Investor,seed,India
MyLoanCare,"Credit, Financial Services, Lending, Marketplace",series a,"Gurgaon, Haryana, India",Leading Online Loans Marketplace in India,780000.0,2017.0,Unknown,Investor,series a,India
PayMe India,"Financial Services, FinTech",angel,"Noida, Uttar Pradesh, India",PayMe India is an innovative FinTech organization which offers short term financial suport to corporate employees.,2000000.0,2017.0,Unknown,Investor,Other,India
Eunimart,"E-Commerce Platforms, Retail, SaaS",seed,"Hyderabad, Andhra Pradesh, India",Eunimart is a one stop solution for merchants to create a difference by selling globally.,0.0,2017.0,Unknown,Investor,seed,India
Hasura,"Cloud Infrastructure, PaaS, SaaS",seed,"Bengaluru, Karnataka, India","Hasura is a platform that allows developers to build, deploy, and host cloud-native applications quickly.",1600000.0,2017.0,Unknown,Investor,seed,India
Tripshelf,"Internet, Leisure, Marketplace",seed,"Kalkaji, Delhi, India",Tripshelf is an online market place for holiday packages.,192000.0,2017.0,Unknown,Investor,seed,India
Hyperdata.IO,Market Research,angel,"Hyderabad, Andhra Pradesh, India",Hyperdata combines advanced machine learning with human intelligence.,600000.0,2017.0,Unknown,Investor,Other,India
Freightwalla,"Information Services, Information Technology",seed,"Mumbai, Maharashtra, India",Freightwalla is an international forwarder thats helps you manage supply chain by providing online tools including instant quotations.,0.0,2017.0,Unknown,Investor,seed,India
Microchip Payments,Mobile Payments,seed,"Bangalore, Karnataka, India",Microchip payments is a mobile-based payment application and point-of-sale device,0.0,2017.0,Unknown,Investor,seed,India
BizCrum Infotech Pvt. Ltd.,"B2B, Shoes",seed,"Delhi, Delhi, India",Building Transactionary B2B Marketplaces,0.0,2017.0,Unknown,Investor,seed,India
Emojifi,Internet,seed,"Bengaluru, Karnataka, India","Emojifi is an app that provides live emoji, stickers & GIFs suggestions based on the typed words across chat platforms.",0.0,2017.0,Unknown,Investor,seed,India
Flock,"Apps, Collaboration, Developer Platform, Enterprise Software, Messaging, Productivity Tools, Video Chat",seed,"India, Asia",Flock is a real-time messaging and collaboration app for teams that speeds up and simplifies communication and boosts productivity.,0.0,2017.0,Unknown,Investor,seed,Asia
Freshboxx,Food Delivery,seed,"Hubli, Karnataka, India","Freshboxx is incubated at Sandbox Startups, a unit of the Deshpande Foundation.",0.0,2017.0,Unknown,Investor,seed,India
Wide Mobility Mechatronics,Industrial Automation,seed,"Bangalore, Karnataka, India",Wide Mobility Mechatronics is a Private Company limited by Shares,0.0,2017.0,Unknown,Investor,seed,India
Pitstop,"Automotive, Search Engine, Service Industry",seed,"Bengaluru, Karnataka, India",Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,1200000.0,2017.0,Unknown,Investor,seed,India
Mihuru,"Finance, Internet, Travel",seed,"Mumbai, Maharashtra, India",Mihuru is an online platform which gives micro loans for air travel .,150000.0,2017.0,Unknown,Investor,seed,India
Fyle,"Accounting, Business Information Systems, Business Travel, Finance, SaaS",seed,"Bengaluru, Karnataka, India",Fyle is an intelligent expense management platform for enterprises.,1100000.0,2017.0,Unknown,Investor,seed,India
AppWharf,"Artificial Intelligence, Product Search, SaaS, Service Industry, Software",seed,"New Delhi, Delhi, India",Appwharf is an intelligent assistant that helps find you the best-fit SaaS for your business.,0.0,2017.0,Unknown,Investor,seed,India
Antariksh Waste Ventures Pvt ltd,"Internet of Things, Waste Management",seed,"Chennai, Tamil Nadu, India",Waste Management for Smart Cities,6000.0,2017.0,Unknown,Investor,seed,India
Cogoport,"Air Transportation, Freight Service, Logistics, Marine Transportation",series a,"Mumbai, Maharashtra, India",Cogoport is a platform that provides freight buying industry with spot rates and bidding process for freight buyers.,6000000.0,2017.0,Unknown,Investor,series a,India
PaisaDukan,Financial Services,seed,"Mumbai, Maharashtra, India",A P2P lending marketplace platform,650000.0,2017.0,Unknown,Investor,seed,India
Sleepy Owl Coffee,Food and Beverage,seed,"New Delhi, Delhi, India","Makers of a signature coffee that's exceptional in taste. It's super easy to brew, requires no equipment & ships to your door.",420000.0,2017.0,Unknown,Investor,seed,India
BlueJack,Autonomous Vehicles,seed,"Delhi, Delhi, India",Delhi-based online used vehicles marketplace.,768000.0,2017.0,Unknown,Investor,seed,India
PregBuddy,"Enterprise Software, Health Care, Hospital, Parenting, Personal Health, SaaS",seed,"Bengaluru, Karnataka, India",PregBuddy is a smart connected care platform for expecting mothers.,0.0,2017.0,Unknown,Investor,seed,India
AgNext Technologies,"Agriculture, Analytics, Big Data, Farming",series a,"Mohali, Punjab, India",AgNext is an agricultural sensing and solutions company focused on building data-driven solutions for agricultural stakeholders,0.0,2017.0,Unknown,Investor,series a,India
Pando,"Logistics, Supply Chain Management",seed,"Chennai, Tamil Nadu, India",A startup which digitizes logistics operations for Fortune 500 companies.,2000000.0,2017.0,Unknown,Investor,seed,India
Mintifi,"Financial Services, Lending",seed,"Mumbai, Maharashtra, India",Online lending startup based in Mumbai.,2000000.0,2017.0,Unknown,Investor,seed,India
Carcrew,"Automotive, Marketplace, Online Portals",seed,"Mumbai, Maharashtra, India",India's Online Auto Repair Marketplace,2000000.0,2017.0,Unknown,Investor,seed,India
NicheAI,Artificial Intelligence,angel,"Hyderabad, Andhra Pradesh, India",Early stage Artificial Intelligence (AI) start up.,0.0,2017.0,Unknown,Investor,Other,India
Chariot Tech,"Internet of Things, Telecommunications",seed,"New Delhi, Delhi, India",Chariot Tech is an Internet of Things (IoT) startup based in New Delhi.,240000.0,2017.0,Unknown,Investor,seed,India
Ideal Insurance Brokers/ 121Policy.com,Insurance,seed,"Kolkata, West Bengal, India",Ideal Insurance Broking is one of the leaders in insurance broking domain.,1000000.0,2017.0,Unknown,Investor,seed,India
Loanzen,Financial Services,seed,"Bangalore, Karnataka, India",Loanzen helps small businesses get unsecured working capital loans against their their pending invoices.,0.0,2017.0,Unknown,Investor,seed,India
Mojro Technologies,"Information Technology, Logistics, Supply Chain Management",seed,"Bengaluru, Karnataka, India",Mojro envisions to be the world's largest technology-enabled logistics platform.,650000.0,2017.0,Unknown,Investor,seed,India
Elemential,"Blockchain, Developer Tools, Enterprise Software",seed,"Mumbai, Maharashtra, India","Blockchain Development Platform To Design, Run & Scale Blockchain Networks.",1000000.0,2017.0,Unknown,Investor,seed,India
Loadshare,"Industrial Automation, Logistics, Supply Chain Management",series a,"Bengaluru, Karnataka, India",LoadShare is India’s fastest growing logistics company,5000000.0,2017.0,Unknown,Investor,series a,India
Yumlane,"Food and Beverage, Food Delivery, Snack Food",series a,"Mumbai, Maharashtra, India",Food startup Yumlane operated by QwikPik Technology,4000000.0,2017.0,Unknown,Investor,series a,India
Kriger Campus,Education,seed,"New Delhi, Delhi, India",A Education Start Up.,360000.0,2017.0,Unknown,Investor,seed,India
Pipa+Bella,"E-Commerce, Fashion, Jewelry, Retail",series a,"Mumbai, Maharashtra, India",Pipa+Bella is an online store aimed at selling fashionable and affordable costume jewelry at par with international standards and trends,1000000.0,2017.0,Unknown,Investor,series a,India
Kaleidofin,Financial Services,seed,"Chennai, Tamil Nadu, India",A fintech platform.,2800000.0,2017.0,Unknown,Investor,seed,India
Chakr Innovation,Renewable Energy,seed,"New Delhi, Delhi, India",Chakr has developed the world’s first retro-fit emission control device for diesel generators.,0.0,2017.0,Unknown,Investor,seed,India
IndigoLearn,"E-Learning, Education",seed,"Hyderabad, Andhra Pradesh, India",India's the premier education destination catering to the needs of aspiring students of the CA community.,150000.0,2017.0,Unknown,Investor,seed,India
UClean,"Clean Energy, CleanTech, Laundry and Dry-cleaning",seed,"India, Asia",UClean is a tech enabled laundry service provider.,480000.0,2017.0,Unknown,Investor,seed,Asia
Coutloot,"E-Commerce, Fashion, Mobile",seed,"Mumbai, Maharashtra, India",The Fashion Re-commerce platform.,1000000.0,2017.0,Unknown,Investor,seed,India
Letstrack,"Apps, Messaging, Navigation, Public Safety",seed,"New Delhi, Delhi, India","Letstrack GPS tracking devices to track your kids, bike, car and other vehicles. GPS trackers for Vehicle Tracking System in India.",1700000.0,2017.0,Unknown,Investor,seed,India
Pooltoo,Transportation,seed,"New Delhi, Delhi, India",Pooltoo offers a premium ride sharing platform.,0.0,2017.0,Unknown,Investor,seed,India
Finzy,"Financial Services, Lending",seed,"Bangalore, Karnataka, India",finzy is the premier peer to peer lending solution in India.,1300000.0,2017.0,Unknown,Investor,seed,India
Fitternity,"Fitness, Health Care, Wellness",seed,"Mumbai, Maharashtra, India",India's largest online fitness platform that provides an integrated eco-system to help users start & sustain their fitness journey,2000000.0,2017.0,Unknown,Investor,seed,India
Keito,"Artificial Intelligence, Machine Learning, SaaS, Virtual Assistant",seed,"Pune, Maharashtra, India",Building an Intelligent Digital Assistant.,0.0,2017.0,Unknown,Investor,seed,India
Tolet for Students,Hospitality,seed,"Jodhpur, Rajasthan, India","Reserve your Room, Hostel or Paying Guest, while relocating for higher education.",60000.0,2017.0,Unknown,Investor,seed,India
